题号	题目	初始	最终版本	学习点
448	Find All Numbers Disappeared in an Array	暴力解答，对每一个n，去array里找是否存在，run time error	对于每个数，找到则修改boolean，	要求return list 可以建array list  然后add，加入新元素List<Integer> res = new ArrayList<>();
442	Find All Duplicates in an Array	暴力解答，两个boolean array，但是要求是no extra space＋O(n)	如果找到，flip, index=nums[i],nums[index-1]=-nums[index-1] 	把储存boolean 和储存原始数据放到一起，题设提到数字出现1/2times
26	Remove Duplicates from Sorted Array	暴力解答		easy
1	Two sum	暴力解答	Use hash map	use hash map, learn the knowledge 
462	Minimum Moves to Equal Array Elements II	暴力解答		The Arrays class has a static sort function, Arrays.sort(numArray)
167	Two Sum II - Input array is sorted	暴力解答，time limit exceed	利用本身sort优势，用两个指针	和＝＝target break; 小于指针怎么动，大于怎么动，想清楚就好
238	Product of Array Except Self	但是不能用除法，要求O(n),不能用额外空间		
453	Minimum Moves to Equal Array Elements	暴力解答，但是特别大的时候就不行，34/84 能过		？
349	Intersection of Two Arrays	暴力解答，time limit exceed	卡住，据说hashmap	？
128	Longest Consecutive Sequence	按照错误类型，不断改进，居然过了！😄		
2	Add Two Numbers	从list到数，sum，然后读出	可以用电路图的思路，就能处理特别长的数字	
3	Longest Substring Without Repeating Characters	感觉好难		？
4	Median of Two Sorted Arrays	O(log(m+n))要求比较高		
